votes,party,female,black,inc,redist,east,midwest,south,west
77.5,1,0,0,5.902,66.400002,1,0,0,0
9.5,0,0,0,7.77,61.799999,1,0,0,0
72,1,0,0,6.0229998,61,1,0,0,0
23.5,1,0,0,5.3540001,53.299999,0,0,1,0
13.5,1,0,0,5.4499998,52.900002,0,0,1,0
15,1,0,0,5.1490002,53.200001,0,0,1,0
33,1,0,0,7.1620002,50.799999,0,0,1,0
29,1,0,0,6.546,53,0,0,1,0
60,1,0,0,7.0190001,52.599998,0,0,1,0
53.5,1,0,0,5.3990002,54.700001,0,0,1,0
31,1,0,0,6.0630002,51.400002,0,0,1,0
13.5,0,0,0,7.454,52.200001,0,0,1,0
16,0,0,0,6.0830002,51.900002,0,0,1,0
16.5,1,0,0,5.7270002,53.799999,0,0,1,0
16,0,0,0,6.4169998,57.5,0,1,0,0
25,0,0,0,8.4610004,61.099998,0,1,0,0
32.5,1,0,0,7.3109999,59.5,0,1,0,0
46,0,0,0,6.7989998,61.400002,0,1,0,0
8,0,0,0,7.006,63.099998,0,1,0,0
15,0,0,0,6.1999998,63.299999,0,1,0,0
17.5,0,0,0,6.9050002,62.400002,0,1,0,0
6,0,0,0,7.1370001,62.400002,0,1,0,0
72.5,1,0,0,7.5560002,66.800003,0,1,0,0
14,0,0,0,5.9689999,62.099998,0,1,0,0
31.5,0,0,0,7.6339998,62.200001,0,1,0,0
6,0,0,0,7.4169998,58.599998,0,1,0,0
75,1,0,0,7.3920002,64,0,1,0,0
95.5,1,0,0,7.3319998,62.299999,0,1,0,0
30,0,0,0,7.5739999,59.099998,0,1,0,0
28.5,0,0,0,7.1760001,61.200001,0,1,0,0
2.5,0,0,0,6.6020002,61,0,1,0,0
37,1,0,0,6.5349998,61.900002,0,1,0,0
73,1,0,0,7.1859999,66.199997,0,1,0,0
70,1,1,0,6.881,61.299999,0,1,0,0
87.5,1,0,1,5.5050001,63.400002,0,1,0,0
79,1,0,0,10.119,59.599998,0,1,0,0
36,1,0,0,9.3629999,60.200001,0,1,0,0
16.5,1,0,0,8.3310003,52.299999,0,0,1,0
18,1,0,0,5.4359999,51.5,0,0,1,0
39.5,1,0,0,6.4039998,52.400002,0,0,1,0
9,0,0,0,8.0810003,51.599998,0,0,1,0
13.5,1,0,0,7.1370001,50.200001,0,0,1,0
50,1,0,0,8.7379999,49.599998,0,0,0,1
52.5,1,0,0,6.9159999,52.099998,0,0,0,1
47,1,0,0,7.6729999,49,0,0,0,1
71.5,1,0,0,6.9180002,54.599998,0,0,0,1
63,1,0,0,5.4299998,63.5,1,0,0,0
67.5,1,0,0,5.2030001,66.199997,1,0,0,0
73.5,1,0,0,7.0250001,61.400002,1,0,0,0
11,0,0,0,8.802,58.799999,1,0,0,0
48,1,0,0,6.8060002,59.099998,1,0,0,0
